brand,product_code,model_number,source,status,advertised_price,list_price,availability,seller_name_raw,fetch_method,model_match,observed_at,html_sha256,screenshot_sha256,error,url
Apple,APL-P01,MFHP4LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:26:35.093Z,4d9a0cf5fc26b953c232ab6a55248e9b2929662c4957b11f87dc67f9fdf99fe5,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0FQFB8FMG
Apple,APL-P01,MFHP4LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:26:39.234Z,,,"http: fetch failed | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-airpods-pro-3-wireless-active-noise-cancelling-earbuds-with-heart-rate-sensing-feature-white/JJGCQLYK5F
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-airpods-pro-3-wireless-active-noise-cancelling-earbuds-with-heart-rate-sensing-feature-white/JJGCQLYK5F"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-airpods-pro-3-wireless-active-noise-cancelling-earbuds-with-heart-rate-sensing-feature-white/JJGCQLYK5F
Apple,APL-P01,MFHP4LL/A,walmart_us,ok,199,249,in_stock,Walmart.com,http,true,2026-09-23T10:26:19.757Z,45181ac4c3d17e65da17057795cac2a6afeae956d8a60d22589dc87a889d953e,441712c67215f807c751d1260e4db0e6e0edc4a97a7f0496fe2746b6dca474d1,,https://www.walmart.com/ip/17835006350
Apple,APL-P02,MXP93LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:27:05.860Z,e49c5f7a868bfb8e927f26c51f42aff3bb17af65b3452c3c6c77fcfe7e35a008,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0DGJ7HYG1
Apple,APL-P02,MXP93LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:27:28.912Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-airpods-4-with-active-noise-cancellation-white/JJGCQ832YX/sku/6447385
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-airpods-4-with-active-noise-cancellation-white/JJGCQ832YX/sku/6447385"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-airpods-4-with-active-noise-cancellation-white/JJGCQ832YX/sku/6447385
Apple,APL-P02,MXP93LL/A,walmart_us,ok,149,179,in_stock,Walmart.com,http,true,2026-09-23T10:26:36.389Z,500880a39851a8d393065c4f97f8ded795421d63b7c45dac71548f89c586efe5,efbc1431812a07e9f2a79a6a7d1035361c041560342ac1369f2fe502a290706d,,https://www.walmart.com/ip/11384707978
Apple,APL-P03,MXP63LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:27:43.246Z,5fe2519d6fcc589d3f7b43af649ad7e70aafef0d2b903931f5ae8af117b8f886,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0DGHMNQ5Z
Apple,APL-P03,MXP63LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:28:14.455Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-airpods-4-white/JJGCQ83JQ5
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-airpods-4-white/JJGCQ83JQ5"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-airpods-4-white/JJGCQ83JQ5
Apple,APL-P03,MXP63LL/A,walmart_us,ok,99,129.99,in_stock,Walmart.com,http,true,2026-09-23T10:26:52.973Z,c57162f8f088979e534651679a3dc6c5020202f86aaa290e6a884234a15d133e,a6fbc7aa0e1b689d643694bda9b5f9061af60c3088a9952060bf60288259da2c,,https://www.walmart.com/ip/11381374703
Apple,APL-P04,MFEA4LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:28:19.584Z,e430993be8322f86d380828faa67d1fb0a5e7d6d86616943dbaa9f5458597ef1,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GJTXVN9Z
Apple,APL-P04,MFEA4LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:29:03.044Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-airtag-4-pack-2nd-generation-2026-white/JJGCQLTTF3
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-airtag-4-pack-2nd-generation-2026-white/JJGCQLTTF3"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-airtag-4-pack-2nd-generation-2026-white/JJGCQLTTF3
Apple,APL-P04,MFEA4LL/A,walmart_us,ok,89,99,in_stock,Walmart.com,http,true,2026-09-23T10:27:08.416Z,f93f8b52244782257a350cfa9b0614e7c8ff623857d3095871f0d963f3bc690c,983cad2a525da8b43fc2cc133dc51fccad24feab14c1d0e48f277792a2ed0e5a,,https://www.walmart.com/ip/19319566241
Apple,APL-P05,MEQT4LW/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:28:58.018Z,f73d668365b46e936169f2d1c65e9ce9386b1cd109f7e80b637e6d9f5efc5124,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0FQFL8PZ5
Apple,APL-P05,MEQT4LW/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:29:49.705Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-watch-series-11-gps-42mm-jet-black-aluminum-case-with-black-sport-band-s-m-jet-black-2025/JJGCQLX4W6/sku/6572702
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-watch-series-11-gps-42mm-jet-black-aluminum-case-with-black-sport-band-s-m-jet-black-2025/JJGCQLX4W6/sku/6572702"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-watch-series-11-gps-42mm-jet-black-aluminum-case-with-black-sport-band-s-m-jet-black-2025/JJGCQLX4W6/sku/6572702
Apple,APL-P05,MEQT4LW/A,walmart_us,ok,399,,in_stock,Walmart.com,http,true,2026-09-23T10:27:25.188Z,e608c8caa0151cabdb5fb9cb22ba676a826b37c66916b9723d095ddee1bcd6a3,ab5e61c1d7a3090f0c4f1f3fb2f115ba7cb8435be2f00b48b29c85583d1c8c7b,,https://www.walmart.com/ip/17828855920
Apple,APL-P06,MD3Y4LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:29:35.029Z,a05280943acaded4fecda60dd024f84aea291d17a0615838074b357b7d1ca7d3,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0DZ77D5HL
Apple,APL-P06,MD3Y4LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:30:34.717Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-11-inch-ipad-a16-chip-with-wi-fi-128gb-silver/JJGCQG39VG/sku/6578266
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-11-inch-ipad-a16-chip-with-wi-fi-128gb-silver/JJGCQG39VG/sku/6578266"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-11-inch-ipad-a16-chip-with-wi-fi-128gb-silver/JJGCQG39VG/sku/6578266
Apple,APL-P06,MD3Y4LL/A,walmart_us,ok,442,,in_stock,Datavision Computer Video,http,true,2026-09-23T10:27:43.879Z,b2946ab7e5f05149482f472157ca58c84ecc986ee7019c76dfe23533b184226b,103f7b7b9c9ee8007f0b0122d5b8f30f767dc2b9267af62fd1f26ffee84a9767,,https://www.walmart.com/ip/15483805722
Apple,APL-P07,MH304LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:30:12.644Z,83fddbf3a3f26ccf7224922d8fa6f087e923682596052775db1786dd2ceb0428,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GQVPX1PJ
